adm3_name,adm3_name1,adm3_name2,adm3_name3,adm3_pcode,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,cod_versio,lang,lang1,lang2,lang3,adm0_en,adm3_ref_n,center_lat,center_lon,total_pop_reprod
7 De Abril,,,,MZ070901,Meconta,,,,MZ0709,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,552.90360273,V_01,pt,,,,Mozambique,7 De Abril,-15.11588196,39.70477366,8911.73297841847
Alto Changane,,,,MZ020201,Chibuto,,,,MZ0202,Gaza,,,,MZ02,Moçambique,,,,MZ,2019-06-07,,2601.85540502,V_01,pt,,,,Mozambique,Alto Changane,-24.15813641,33.47543728,1617.94972538203
Alto Ligonha,,,,MZ110501,Gile,,,,MZ1105,Zambezia,,,,MZ11,Moçambique,,,,MZ,2019-06-07,,3900.62706449,V_01,pt,,,,Mozambique,Alto Ligonha,-15.70530888,38.34115429,17125.9016570449
Alto Molocue,,,,MZ110101,Alto Molocue,,,,MZ1101,Zambezia,,,,MZ11,Moçambique,,,,MZ,2019-06-07,,3738.84504818,V_01,pt,,,,Mozambique,Alto Molocue,-15.88830278,37.74000479,68715.0435893387
Alua,,,,MZ070301,Erati,,,,MZ0703,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,1913.13142958,V_01,pt,,,,Mozambique,Alua,-14.02805823,39.82754757,22257.484310627
Amatongas,,,,MZ040301,Gondola,,,,MZ0403,Manica,,,,MZ04,Moçambique,,,,MZ,2019-06-07,,837.54392808,V_01,pt,,,,Mozambique,Amatongas,-19.09579842,33.78402464,9595.66866573691
Anchilo,,,,MZ072201,Rapale,,,,MZ0722,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,1317.40374321,V_01,pt,,,,Mozambique,Anchilo,-15.21683192,39.29343617,20475.9336729497
Ancuabe,,,,MZ010101,Ancuabe,,,,MZ0101,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,2089.83754197,V_01,pt,,,,Mozambique,Ancuabe,-12.83613407,39.77208564,15130.0418455303
Angoche,,,,MZ070101,Angoche,,,,MZ0701,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,473.80476659,V_01,pt,,,,Mozambique,Angoche,-16.10975291,39.98545869,54800.3562435508
Aube,,,,MZ070102,Angoche,,,,MZ0701,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,551.61160469,V_01,pt,,,,Mozambique,Aube,-16.34419973,39.70401669,6340.45243501663
Bajone,,,,MZ111501,Mocubela,,,,MZ1115,Zambezia,,,,MZ11,Moçambique,,,,MZ,2019-06-07,,1348.0878165,V_01,pt,,,,Mozambique,Bajone,-17.25684689,37.91803883,22238.2670605779
Balama,,,,MZ010201,Balama,,,,MZ0102,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,971.49562348,V_01,pt,,,,Mozambique,Balama,-13.33013921,38.60640991,28245.1071700454
Bazaruto,,,,MZ030601,Inhassoro,,,,MZ0306,Inhambane,,,,MZ03,Moçambique,,,,MZ,2019-06-07,,100.21135502,V_01,pt,,,,Mozambique,Bazaruto,-21.64939204,35.47000697,103.294522516429
Bazua,,,,MZ041101,Tambara,,,,MZ0411,Manica,,,,MZ04,Moçambique,,,,MZ,2019-06-07,,1980.28983497,V_01,pt,,,,Mozambique,Bazua,-17.13437251,34.07951195,2777.35709261894
Bela Vista,,,,MZ050601,Matutuine,,,,MZ0506,Maputo,,,,MZ05,Moçambique,,,,MZ,2019-06-07,,2625.1993028,V_01,pt,,,,Mozambique,Bela Vista,-26.4597118,32.63875253,4550.27294239402
Bilibiza,,,,MZ011801,Quissanga,,,,MZ0118,Cabo Delgado,,,,MZ01,Moçambique,,,,MZ,2019-06-07,,787.24658956,V_01,pt,,,,Mozambique,Bilibiza,-12.6093804,40.2225401,4835.4824693203
Boane,,,,MZ050101,Boane,,,,MZ0501,Maputo,,,,MZ05,Moçambique,,,,MZ,2019-06-07,,599.03048811,V_01,pt,,,,Mozambique,Boane,-26.08365155,32.34702765,21027.9286973551
Boila,,,,MZ070103,Angoche,,,,MZ0701,Nampula,,,,MZ07,Moçambique,,,,MZ,2019-06-07,,1252.90864051,V_01,pt,,,,Mozambique,Boila,-16.09913207,39.67032887,21516.4279589951
Buzi,,,,MZ090101,Buzi,,,,MZ0901,Sofala,,,,MZ09,Moçambique,,,,MZ,2019-06-07,,3417.81144652,V_01,pt,,,,Mozambique,Buzi,-19.8569596,34.41200582,37232.941570133
