ADM2_EN,date,temperature_2m,temperature_2m_max,temperature_2m_min,total_precipitation_sum
Aba North,2024-05-01,301.1159889,306.0408614,299.2497744,0.0044424
Aba North,2024-05-02,300.3721098,304.9884556,298.7831911,0.0094157
Aba North,2024-05-03,299.8959159,302.4662149,297.9173094,0.0053014
Aba North,2024-05-04,300.80456,304.6846913,298.0758672,0.0015064
Aba North,2024-05-05,301.1237308,305.5803823,298.0229252,0.0071091
Aba North,2024-05-06,300.9703336,304.1234501,298.39905,0.0033211
Aba South,2024-05-01,301.1133906,306.0009283,299.2522103,0.0045858
Aba South,2024-05-02,300.3790927,304.9933274,298.785627,0.0094059
Aba South,2024-05-03,299.9122971,302.4691379,297.9353349,0.0050264
Aba South,2024-05-04,300.8095333,304.7066142,298.0535219,0.0015548
Aba South,2024-05-05,301.1322158,305.615946,298.0141561,0.0067885
Aba South,2024-05-06,300.9705771,304.1215014,298.3893065,0.0036946
Abadam,2024-05-01,310.2099375,317.9721364,302.2762023,8.5234632e-07
Abadam,2024-05-02,309.8392085,317.6137071,300.781673,8.5234632e-07
Abadam,2024-05-03,310.188162,317.8150827,302.2570849,0
Abadam,2024-05-04,309.5407877,317.3449674,300.7749687,1.2814998e-06
Abadam,2024-05-05,309.4859613,317.474776,300.3596184,8.7022784e-07
Abadam,2024-05-06,309.4464003,317.5981933,299.9569282,0
Abaji,2024-05-01,306.2119926,310.6339722,302.0532482,7.87e-05
Abaji,2024-05-02,305.48846,310.7043387,301.0715523,0.0009803
Abaji,2024-05-03,305.2069838,310.2129676,301.1789777,3.35e-05
Abaji,2024-05-04,305.8956041,310.9948323,301.1413787,0.0002201
Abaji,2024-05-05,305.90608,311.0971278,301.2620008,0.000186
Abaji,2024-05-06,305.8128476,311.2847508,301.1124254,0.00068
Abak,2024-05-01,301.1890353,305.9549601,299.0818038,0.0065846
Abak,2024-05-02,300.2936654,304.4731401,298.7711901,0.0077423
Abak,2024-05-03,299.7006425,302.4756416,297.6130731,0.006831
Abak,2024-05-04,300.8845167,304.5566198,298.0863735,0.0011499
Abak,2024-05-05,301.2184318,305.2473181,298.3381637,0.0098197
Abak,2024-05-06,301.0622881,304.1888021,298.5160165,0.0041644
Abakaliki,2024-05-01,304.0814672,310.1765511,301.0546155,0.0011463
Abakaliki,2024-05-02,303.0881115,307.3551407,300.5166686,0.0005944
Abakaliki,2024-05-03,302.7372585,307.9332561,300.1217744,0.0068447
Abakaliki,2024-05-04,302.9278199,306.5479556,299.8037154,0.0002003
Abakaliki,2024-05-05,303.6031925,308.9727171,299.8601496,0.0017755
Abakaliki,2024-05-06,303.7542158,309.0917088,300.5994206,0.0033584
Abeokuta North,2024-05-01,302.9928155,307.2382467,300.4968028,0.0001207
Abeokuta North,2024-05-02,302.5720613,307.3317771,299.8426706,0.0013075
Abeokuta North,2024-05-03,302.5192083,308.7557109,299.5243167,0.0016556
Abeokuta North,2024-05-04,302.6543348,308.1812532,298.8657168,0.0002736
Abeokuta North,2024-05-05,302.7095527,307.0330811,299.0025624,0.0009093
Abeokuta North,2024-05-06,302.7581804,307.8281543,299.3305953,0.0001705
Abeokuta South,2024-05-01,302.8695906,307.1142682,300.4377006,0.0002247
Abeokuta South,2024-05-02,302.4006394,306.9519587,299.8058967,0.0025746
Abeokuta South,2024-05-03,302.159822,308.0261166,299.3596069,0.0025461
Abeokuta South,2024-05-04,302.3350362,307.8340664,298.4925753,0.0002228
Abeokuta South,2024-05-05,302.4921046,306.416052,298.9028092,0.0014217
Abeokuta South,2024-05-06,302.6830294,307.7697403,299.4087175,0.000144
Abi,2024-05-01,303.2662993,309.3162399,300.5680868,0.0012016
Abi,2024-05-02,301.9732101,306.1266629,299.9719424,0.0025847
Abi,2024-05-03,301.676758,306.0957423,299.5306957,0.0068525
Abi,2024-05-04,302.0554279,305.7671934,299.2049405,0.0009095
Abi,2024-05-05,302.765463,307.8798079,299.1785247,0.0024355
Abi,2024-05-06,302.9215219,307.6331773,299.9388827,0.0027605
Aboh-Mbaise,2024-05-01,301.341901,307.2176716,299.228174,0.0047882
Aboh-Mbaise,2024-05-02,300.3368187,305.3226838,298.5759942,0.0138173
Aboh-Mbaise,2024-05-03,299.8048813,303.0272595,298.1993501,0.0087356
Aboh-Mbaise,2024-05-04,300.5851319,305.260706,297.4713291,0.0047246
Aboh-Mbaise,2024-05-05,301.1524535,306.7116342,297.5374031,0.0058706
Aboh-Mbaise,2024-05-06,301.2061048,304.688986,298.2499748,0.001361
Abua/Odual,2024-05-01,301.3597487,305.042896,299.9659321,0.0130759
Abua/Odual,2024-05-02,300.6555726,304.2268924,298.8513912,0.0188768
Abua/Odual,2024-05-03,300.3341085,302.3345823,298.85581,0.0043431
Abua/Odual,2024-05-04,301.4149194,305.1270584,299.2125992,0.0048421
Abua/Odual,2024-05-05,301.6654162,305.4077186,298.5902612,0.003263
Abua/Odual,2024-05-06,301.026991,303.8621027,299.1622896,0.0063885
Abuja Municipal,2024-05-01,304.2854513,308.6862902,300.6124653,0.000726
Abuja Municipal,2024-05-02,303.2038634,307.7972008,299.6320006,0.0015223
Abuja Municipal,2024-05-03,302.7431012,306.6689419,299.4776464,2.22e-05
Abuja Municipal,2024-05-04,303.7165689,308.3149936,299.6488613,0.0002405
Abuja Municipal,2024-05-05,303.756343,307.7543915,299.7215055,0.0001671
Abuja Municipal,2024-05-06,303.7802274,308.7240213,299.5252902,0.0010733
Adavi,2024-05-01,304.0525387,310.4541063,300.6641348,0.0011255
Adavi,2024-05-02,303.5840559,309.3279672,299.8411914,0.000244
Adavi,2024-05-03,303.5357,309.067398,299.7787803,0.0004987
Adavi,2024-05-04,303.9449334,310.0979539,299.3394805,0.0004982
Adavi,2024-05-05,304.0371779,310.6637199,299.6772772,0.0008556
Adavi,2024-05-06,304.4280113,310.2443681,299.8817683,7.62e-05
Ado,2024-05-01,304.6757366,311.0030025,301.2712335,0.0003011
Ado,2024-05-02,303.688859,308.6837832,300.3670663,0.0005463
Ado,2024-05-03,303.2212366,308.9407737,300.0728581,0.0044657
Ado,2024-05-04,303.5763936,308.4387801,299.6628323,0.0002629
Ado,2024-05-05,304.2964717,310.4685624,300.0775413,0.0004929
Ado,2024-05-06,304.3109075,310.1954299,300.6702364,0.002359
Ado-Odo/Ota,2024-05-01,302.4821436,305.4374675,300.6689468,0.0009281
Ado-Odo/Ota,2024-05-02,302.2425562,305.52269,300.1130572,0.001071
Ado-Odo/Ota,2024-05-03,301.9748359,306.5619691,299.6324934,0.0021476
Ado-Odo/Ota,2024-05-04,302.0581409,305.6713436,299.3928229,0.0007188
Ado-Odo/Ota,2024-05-05,302.5227414,305.6015343,299.9718236,0.0006251
Ado-Odo/Ota,2024-05-06,302.2261562,305.9997308,299.6903176,0.0007523
Ado Ekiti,2024-05-01,300.665366,306.5267191,298.4550657,0.0035199
Ado Ekiti,2024-05-02,300.521445,305.8077247,297.5394463,0.0006816
Ado Ekiti,2024-05-03,300.2278098,305.9078207,297.7333779,0.0026695
Ado Ekiti,2024-05-04,300.5769856,306.6728095,296.8665681,0.0002198
Ado Ekiti,2024-05-05,301.0278149,306.5787765,297.5899519,0.0007752
Ado Ekiti,2024-05-06,300.566503,305.6286713,297.6621154,0.0003092
Afijio,2024-05-01,302.2118186,308.2668315,299.6158694,0.0016828
Afijio,2024-05-02,301.9696462,307.6698352,298.8214323,0.0007131
Afijio,2024-05-03,302.0747059,308.9714749,298.9893315,0.0041969
Afijio,2024-05-04,302.182133,308.3974613,297.7796382,0.0002376
Afijio,2024-05-05,302.43829,307.6987635,298.2908984,0.0003685
Afijio,2024-05-06,302.0017803,306.9464642,298.7548557,5.68e-05
Afikpo North,2024-05-01,303.2494413,309.4446394,300.5556899,0.0011006
Afikpo North,2024-05-02,301.9158994,305.957149,299.89608,0.0031318
Afikpo North,2024-05-03,301.5535957,305.980044,299.5065946,0.0080774
Afikpo North,2024-05-04,302.0318598,305.9926322,299.1228015,0.0007826
Afikpo North,2024-05-05,302.6634678,307.9706794,299.1563741,0.0036303
Afikpo North,2024-05-06,302.8469045,307.4745175,299.8547068,0.0022184
Afikpo South,2024-05-01,302.9165052,309.1599036,300.3461304,0.0016505
Afikpo South,2024-05-02,301.6038301,305.7116575,299.633222,0.0035169
Afikpo South,2024-05-03,301.2270077,305.5421172,299.3111032,0.0070093
Afikpo South,2024-05-04,301.7949255,305.9556164,298.8517859,0.0009301
Afikpo South,2024-05-05,302.3287106,307.7204043,298.9168604,0.0042801
Afikpo South,2024-05-06,302.5336338,306.9757108,299.5615651,0.0018694
Agaie,2024-05-01,306.7694376,311.0698051,302.4063232,9.83e-05
Agaie,2024-05-02,305.8802529,311.5426547,301.6421777,0.0018737
Agaie,2024-05-03,305.812281,310.9696435,301.5329449,1.48e-05
Agaie,2024-05-04,306.5552414,311.7406596,301.5476722,9.94e-05
Agaie,2024-05-05,306.5907221,312.031768,301.6585893,8.84e-05
Agaie,2024-05-06,306.5141189,312.2429837,301.5765365,0.0001982
Agatu,2024-05-01,306.2337927,313.190269,300.6538985,0.0121013
Agatu,2024-05-02,304.8279102,309.6404524,300.9429302,3.98e-05
Agatu,2024-05-03,304.2653969,309.0795683,300.8824982,0.0003316
Agatu,2024-05-04,305.0621442,310.2186824,300.9309362,0.0003801
Agatu,2024-05-05,305.0632538,309.8407114,301.11022,9.72e-05
Agatu,2024-05-06,305.0539368,310.8200869,300.7537516,0.0050395
Agege,2024-05-01,302.5647717,305.6005859,300.7718048,0.0006404
Agege,2024-05-02,302.3823808,305.5342865,300.3085632,0.0009781
Agege,2024-05-03,301.8908831,306.105957,299.6659851,0.0063788
Agege,2024-05-04,302.2082386,305.614563,299.983017,0.0005038
Agege,2024-05-05,302.6305548,305.4595795,300.0673828,0.0005132
Agege,2024-05-06,302.3170261,306.0914459,300.0173645,0.0011133
Aguata,2024-05-01,301.6049537,308.0249914,299.213226,0.0061663
Aguata,2024-05-02,300.4924089,305.791316,298.6462263,0.0077958
Aguata,2024-05-03,300.3967613,304.9926407,298.4545852,0.0085333
Aguata,2024-05-04,301.0695848,306.3842075,298.0190638,0.0037014
Aguata,2024-05-05,301.4863808,307.5587106,297.7894357,0.0066632
Aguata,2024-05-06,301.4594413,305.7202371,298.6311552,0.0008253
Agwara,2024-05-01,307.6186259,312.8892861,303.1361061,6.91e-05
Agwara,2024-05-02,306.7850679,311.7614084,302.7190435,0.0001382
Agwara,2024-05-03,306.8404348,311.5227154,302.7396316,1.9301426e-08
Agwara,2024-05-04,307.3684558,312.6744156,302.340211,1.7227263e-06
Agwara,2024-05-05,307.6722563,312.7590072,302.5373403,2.5987538e-06
Agwara,2024-05-06,307.5919602,312.4251175,303.1937393,7.61e-05
Ahiazu-Mbaise,2024-05-01,301.4147302,307.5510038,299.2687625,0.0046977
Ahiazu-Mbaise,2024-05-02,300.3092059,305.4141778,298.5099254,0.0138034
Ahiazu-Mbaise,2024-05-03,299.7926637,303.5240678,298.1983192,0.0104186
Ahiazu-Mbaise,2024-05-04,300.5822062,305.4917571,297.3238529,0.0045033
Ahiazu-Mbaise,2024-05-05,301.1908065,307.0165241,297.619094,0.0064394
Ahiazu-Mbaise,2024-05-06,301.2587547,305.0214357,298.3153567,0.0009847
Ahoada East,2024-05-01,301.2822331,305.9230309,299.7280212,0.0125386
Ahoada East,2024-05-02,300.6592676,304.7784312,298.873632,0.0187891
Ahoada East,2024-05-03,300.2660788,302.3832007,298.6269578,0.0030642
Ahoada East,2024-05-04,301.0863999,305.3313347,298.6829259,0.0060182
Ahoada East,2024-05-05,301.5176719,306.2076333,298.2678071,0.005385
Ahoada East,2024-05-06,301.1434561,304.6955376,298.9558812,0.0048731
Ahoada West,2024-05-01,301.3277975,305.7919112,299.8248683,0.0137365
Ahoada West,2024-05-02,300.6963202,304.6400636,298.8038504,0.0207276
Ahoada West,2024-05-03,300.3323339,302.370779,298.8056547,0.0039277
Ahoada West,2024-05-04,301.0877901,305.3505647,298.7972796,0.0068076
Ahoada West,2024-05-05,301.5233923,306.0957515,298.2330182,0.0048215
Ahoada West,2024-05-06,301.0848482,304.6408868,299.0213747,0.0043376
Aiyedade,2024-05-01,301.3508912,306.4070758,299.5709096,0.0039364
Aiyedade,2024-05-02,301.1849142,305.6294215,298.6943733,0.0016473
Aiyedade,2024-05-03,301.0467284,306.5429522,298.248168,0.00401
Aiyedade,2024-05-04,300.9641101,306.5278792,297.1533803,0.0008823
Aiyedade,2024-05-05,301.3996479,305.5657568,298.0438338,0.0013147
Aiyedade,2024-05-06,300.8533247,304.739555,298.906962,0.0006999
Aiyedire,2024-05-01,301.6064915,307.1819094,299.5368681,0.0015551
Aiyedire,2024-05-02,301.4018276,306.3690191,298.7274305,0.0009512
Aiyedire,2024-05-03,301.4091361,307.3284016,298.7688103,0.0030496
Aiyedire,2024-05-04,301.3558847,307.3121586,297.4981177,0.0004336
Aiyedire,2024-05-05,301.7918752,306.4432866,298.1114957,0.0003623
Aiyedire,2024-05-06,301.1432319,305.0533222,299.0093227,0.0002692
Aiyekire (Gbonyin),2024-05-01,300.7584617,306.6952605,298.5165391,0.0034234
Aiyekire (Gbonyin),2024-05-02,300.7062001,306.5507915,297.559343,0.0005623
Aiyekire (Gbonyin),2024-05-03,300.4810154,306.3031278,297.9818389,0.0016629
Aiyekire (Gbonyin),2024-05-04,300.9058095,307.0601568,297.0501186,0.0001909
Aiyekire (Gbonyin),2024-05-05,301.2436188,306.9634838,297.8095817,0.0009736
Aiyekire (Gbonyin),2024-05-06,301.0765519,306.796954,297.8424368,0.0004786
Ajaokuta,2024-05-01,304.264444,310.8825339,300.8768682,0.0008976
Ajaokuta,2024-05-02,303.6681709,309.3834057,300.110479,0.0001884
Ajaokuta,2024-05-03,303.6569703,309.0979722,300.0308408,0.0005584
Ajaokuta,2024-05-04,304.0310825,310.245117,299.5223756,0.0023959
Ajaokuta,2024-05-05,304.1546426,310.7258282,299.8289101,0.000512
Ajaokuta,2024-05-06,304.4275905,310.0589334,300.0765164,5.27e-05
Ajeromi-Ifelodun,2024-05-01,302.6247111,305.1362065,301.1295196,0.000798
Ajeromi-Ifelodun,2024-05-02,302.5454955,304.9936903,300.3641201,0.0016441
Ajeromi-Ifelodun,2024-05-03,302.0674386,305.3264214,300.0597145,0.0049008
Ajeromi-Ifelodun,2024-05-04,302.5099697,305.2628944,299.9080129,0.0003689
Ajeromi-Ifelodun,2024-05-05,302.9832874,305.3068204,301.0969888,0.0004244
Ajeromi-Ifelodun,2024-05-06,302.4236914,305.3338273,300.4821744,0.0028615
Ajingi,2024-05-01,307.5909738,314.5990825,299.3541571,1.2709442e-06
Ajingi,2024-05-02,307.3124278,314.5963783,300.6584596,8.0737189e-06
Ajingi,2024-05-03,306.7736614,313.0235129,300.5619637,0
Ajingi,2024-05-04,307.1929424,314.0123335,300.4124789,1.9181772e-06
Ajingi,2024-05-05,307.9354774,315.3395731,300.6299576,8.7022784e-07
Ajingi,2024-05-06,307.3053205,313.9009313,300.5091521,0
Akamkpa,2024-05-01,300.8529995,305.7479427,298.6108369,0.0052913
Akamkpa,2024-05-02,300.0662418,304.3987732,298.4834443,0.0085526
Akamkpa,2024-05-03,299.762434,302.6664335,298.0031392,0.0019136
Akamkpa,2024-05-04,300.3847455,303.5525622,297.8623598,0.0009375
Akamkpa,2024-05-05,300.6167126,304.9318112,297.640576,0.0075816
